Firma;Anrede;Vorname;Nachname;Strasse;PLZ;Ort;Öffnungszeiten;Telefon;Pin Farbe;Temporär;Transporte
Zweiradgeber GmbH;Herr;Miro;Kondres;Anwandstrasse 57;8004;Zürich;"Di-Fr 11:00 – 19:00; Sa: 10:00 – 16:00";+41 43 211 97 27;FE7569;;
Zweifach Basel;Herr;Markus;Flubacher;Sempacherstrasse 17;4053;Basel;"Mo-Fr 09:00 – 18:30; Sa 09:00 – 17:00";+41 61 363 39 39;FE7569;;auf Anfrage
WTL Werk- und Technologiezentrum Linthgebiet;Herr;Achilles;Häring;Schachenstrasse 82;8645;Jona;Mo-Fr 07:20 – 12:00, 12:30 – 16:00;+41 55 224 33 20;09F932;;auf Anfrage
Werkstätten Buecherwäldli;;;;Fichtenstrasse 56;9240;Uzwil;Mo-Fr 08:00 – 12:00 & 13:00 – 17:00;;09F932;;
Wallisrollt Valaisroule;;;;Furkastrasse 29;3900;Brig;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 17;FE7569;;
Wallisrollt Valaisroule;;;;Camping Brigerbad;3900;Brig;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 27 948 48 37;FE7569;;
Wallisrollt Valaisroule;;;;Bäretstrasse;3930;Visp;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 18;FE7569;;
Wallisrollt Valaisroule;;;;Place de la Gare;3942;Raron;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 19;FE7569;;
Wallisrollt Valaisroule;;;;Lamperji;3945;Gampel;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 778 67 36;FE7569;;
Wallisrollt Valaisroule;;;;Bahnhofstrasse;3953;Leuk;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 20;FE7569;;
